rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
177,Mas el Dios de toda gracia,Marcos Witt,marcos_witt,mas_el_dios_de_toda_gracia,94,8.27,1,R,https://acordes.lacuerda.net/marcos_witt/mas_el_dios_de_toda_gracia
178,Vuelve Pronto,Alex Campos,alex_campos,vuelve_pronto,93,8.72,2,R,https://acordes.lacuerda.net/alex_campos/vuelve_pronto
179,Renuévame,Marcos Witt,marcos_witt,renuevame,93,8.23,1,R,https://acordes.lacuerda.net/marcos_witt/renuevame
180,Ya no soy esclavo,Marco Barrientos,marco_barrientos,ya_no_soy_esclavo,93,7.81,1,R,https://acordes.lacuerda.net/marco_barrientos/ya_no_soy_esclavo
181,Levántate,Marcos Witt,marcos_witt,levantate,91,7.21,1,R,https://acordes.lacuerda.net/marcos_witt/levantate
182,Correré,Hillsong United,hillsong_united,correre,90,8.57,1,R,https://acordes.lacuerda.net/hillsong_united/correre
183,Jesús eres mi buen pastor,Marcos Witt,marcos_witt,jesus_eres_mi_buen_pastor,90,8.33,1,R,https://acordes.lacuerda.net/marcos_witt/jesus_eres_mi_buen_pastor
184,Dios Icomparable,Marco Barrientos,marco_barrientos,dios_icomparable,90,7.77,1,R,https://acordes.lacuerda.net/marco_barrientos/dios_icomparable
185,Agradecidos,Miel San Marcos,miel_san_marcos,agradecidos,89,7.75,1,R,https://acordes.lacuerda.net/miel_san_marcos/agradecidos
186,Digno eres tu,Rojo,rojo,digno_eres_tu,87,9.64,4,"R,B,T",https://acordes.lacuerda.net/rojo/digno_eres_tu
187,Tan lejos tan cerca,Alex Campos,alex_campos,tan_lejos_tan_cerca,87,9.34,4,"T,B",https://acordes.lacuerda.net/alex_campos/tan_lejos_tan_cerca
188,Dulce refugio,Danilo Montero,danilo_montero,dulce_refugio,87,9.09,5,"R,K",https://acordes.lacuerda.net/danilo_montero/dulce_refugio
189,Vida tu me das,Hillsong United,hillsong_united,vida_tu_me_das,87,7.62,1,R,https://acordes.lacuerda.net/hillsong_united/vida_tu_me_das
190,Me Dijo,Alex Campos,alex_campos,me_dijo,86,9.66,6,"R,B,T",https://acordes.lacuerda.net/alex_campos/me_dijo
191,Alabadle,Marcos Witt,marcos_witt,alabadle,86,8.8,4,R,https://acordes.lacuerda.net/marcos_witt/alabadle
192,Bendeciré,Miel San Marcos,miel_san_marcos,bendecire,86,8.08,1,R,https://acordes.lacuerda.net/miel_san_marcos/bendecire
193,Cuidaré de tí,Alex Campos,alex_campos,cuidare_de_ti,85,10.0,5,"T,R,B",https://acordes.lacuerda.net/alex_campos/cuidare_de_ti
194,Eres mi fortaleza,Hillsong United,hillsong_united,eres_mi_fortaleza,85,9.1,1,R,https://acordes.lacuerda.net/hillsong_united/eres_mi_fortaleza
195,A el alto y sublime,Jesus Adrian Romero,jesus_adrian_romero,a_el_alto_y_sublime,85,8.12,4,R,https://acordes.lacuerda.net/jesus_adrian_romero/a_el_alto_y_sublime
196,Con oleo de alegría,Miel San Marcos,miel_san_marcos,con_oleo_de_alegria,84,10.0,2,"R,T",https://acordes.lacuerda.net/miel_san_marcos/con_oleo_de_alegria
197,Aleluya,Hillsong United,hillsong_united,aleluya,84,9.18,1,R,https://acordes.lacuerda.net/hillsong_united/aleluya
198,Derroche de amor,Alex Campos,alex_campos,derroche_de_amor,84,8.84,2,R,https://acordes.lacuerda.net/alex_campos/derroche_de_amor
199,Es el rey,Danilo Montero,danilo_montero,es_el_rey,84,7.47,2,B,https://acordes.lacuerda.net/danilo_montero/es_el_rey
200,Mil Palabritas,Alex Campos,alex_campos,mil_palabritas,83,8.37,4,R,https://acordes.lacuerda.net/alex_campos/mil_palabritas
201,A tí sea la gloria,Marcela Gandara,marcela_gandara,a_ti_sea_la_gloria,83,7.98,5,"R,T",https://acordes.lacuerda.net/marcela_gandara/a_ti_sea_la_gloria
202,Lenguaje de amor,Alex Campos,alex_campos,lenguaje_de_amor,82,9.88,3,"T,R",https://acordes.lacuerda.net/alex_campos/lenguaje_de_amor
203,Canta Al Señor,Danilo Montero,danilo_montero,canta_al_senior,82,9.27,1,R,https://acordes.lacuerda.net/danilo_montero/canta_al_senior
204,Amante de tí,Marcos Witt,marcos_witt,amante_de_ti,82,9.01,1,R,https://acordes.lacuerda.net/marcos_witt/amante_de_ti
205,Shekinah,Barak,barak,shekinah,82,8.67,3,"R,T",https://acordes.lacuerda.net/barak/shekinah
206,Quiero cantar una linda canción,Música Religiosa,musica_religiosa,quiero_cantar_una_linda_cancion,82,8.45,1,R,https://acordes.lacuerda.net/musica_religiosa/quiero_cantar_una_linda_cancion
207,Te Alabare Mi Buen Jesus/bueno Es Alabar,Marcos Witt,marcos_witt,te_alabare_mi_buen_jesusbueno_es_alabar,81,8.53,1,R,https://acordes.lacuerda.net/marcos_witt/te_alabare_mi_buen_jesusbueno_es_alabar
208,Prefiero,Alex Campos,alex_campos,prefiero,80,9.6,2,"R,B",https://acordes.lacuerda.net/alex_campos/prefiero
209,Te Quiero,Alex Campos,alex_campos,te_quiero,80,9.31,2,"R,K",https://acordes.lacuerda.net/alex_campos/te_quiero
210,Entraré,Música Religiosa,musica_religiosa,entrare,80,8.63,1,R,https://acordes.lacuerda.net/musica_religiosa/entrare
211,Vine a adorarte,Hillsong United,hillsong_united,vine_a_adorarte,80,7.92,1,R,https://acordes.lacuerda.net/hillsong_united/vine_a_adorarte
212,Espíritu y Verdad,Marco Barrientos,marco_barrientos,espiritu_y_verdad,78,8.54,1,R,https://acordes.lacuerda.net/marco_barrientos/espiritu_y_verdad
213,La niña de tus ojos,Danilo Montero,danilo_montero,la_ninia_de_tus_ojos,78,8.49,1,R,https://acordes.lacuerda.net/danilo_montero/la_ninia_de_tus_ojos
214,Mi Universo,Marco Barrientos,marco_barrientos,mi_universo,77,9.4,1,T,https://acordes.lacuerda.net/marco_barrientos/mi_universo
215,Nadie te ama como yo,Música Religiosa,musica_religiosa,nadie_te_ama_como_yo,77,8.67,1,R,https://acordes.lacuerda.net/musica_religiosa/nadie_te_ama_como_yo
216,Un día caminaba,Música Religiosa,musica_religiosa,un_dia_caminaba,77,8.66,1,R,https://acordes.lacuerda.net/musica_religiosa/un_dia_caminaba
217,Su hijo dio,Hillsong United,hillsong_united,su_hijo_dio,77,8.53,1,R,https://acordes.lacuerda.net/hillsong_united/su_hijo_dio
218,Cristo esta aquí,Miel San Marcos,miel_san_marcos,cristo_esta_aqui,77,7.92,3,R,https://acordes.lacuerda.net/miel_san_marcos/cristo_esta_aqui
219,Yo no temeré,Alex Campos,alex_campos,yo_no_temere,76,9.25,2,"R,T",https://acordes.lacuerda.net/alex_campos/yo_no_temere
220,Dímelo,Alex Campos,alex_campos,dimelo,76,9.08,2,"R,B",https://acordes.lacuerda.net/alex_campos/dimelo
221,Es Hora de Adorarle,Marco Barrientos,marco_barrientos,es_hora_de_adorarle,76,8.57,1,R,https://acordes.lacuerda.net/marco_barrientos/es_hora_de_adorarle
222,Fuego de Dios,Hillsong United,hillsong_united,fuego_de_dios,76,8.55,1,R,https://acordes.lacuerda.net/hillsong_united/fuego_de_dios
223,Gloria a Dios en el cielo,Música Religiosa,musica_religiosa,gloria_a_dios_en_el_cielo,76,8.16,1,R,https://acordes.lacuerda.net/musica_religiosa/gloria_a_dios_en_el_cielo
224,Abre mis ojos,Jesus Adrian Romero,jesus_adrian_romero,abre_mis_ojos,76,8.12,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/abre_mis_ojos
225,Queremos a Cristo proclamar,Marco Barrientos,marco_barrientos,queremos_a_cristo_proclamar,76,7.91,1,R,https://acordes.lacuerda.net/marco_barrientos/queremos_a_cristo_proclamar
226,Me veniste a rescatar,Hillsong United,hillsong_united,me_veniste_a_rescatar,75,9.15,1,R,https://acordes.lacuerda.net/hillsong_united/me_veniste_a_rescatar
227,Hombre de valor,Marcos Witt,marcos_witt,hombre_de_valor,75,8.97,1,R,https://acordes.lacuerda.net/marcos_witt/hombre_de_valor
228,Tu amistad me hace bien,Alex Campos,alex_campos,tu_amistad_me_hace_bien,75,8.8,4,R,https://acordes.lacuerda.net/alex_campos/tu_amistad_me_hace_bien
229,Alzad oh puertas,Jesus Adrian Romero,jesus_adrian_romero,alzad_oh_puertas,75,8.72,4,"R,T,B",https://acordes.lacuerda.net/jesus_adrian_romero/alzad_oh_puertas
230,Desciende Espíritu Santo,Barak,barak,desciende_espiritu_santo,75,8.44,2,R,https://acordes.lacuerda.net/barak/desciende_espiritu_santo
231,Padre nuestro,Música Religiosa,musica_religiosa,padre_nuestro,75,8.01,1,R,https://acordes.lacuerda.net/musica_religiosa/padre_nuestro
232,Pinta el mundo,Alex Campos,alex_campos,pinta_el_mundo,74,9.0,2,"R,T",https://acordes.lacuerda.net/alex_campos/pinta_el_mundo
233,Yo También,Hillsong United,hillsong_united,yo_tambien,74,8.32,1,R,https://acordes.lacuerda.net/hillsong_united/yo_tambien
234,Acepta,Barak,barak,acepta,74,8.01,2,R,https://acordes.lacuerda.net/barak/acepta
235,Tu amor y mi amor,Alex Campos,alex_campos,tu_amor_y_mi_amor,73,8.81,2,"R,T",https://acordes.lacuerda.net/alex_campos/tu_amor_y_mi_amor
236,Cuan grande es Dios,Hillsong United,hillsong_united,cuan_grande_es_dios,73,8.18,1,R,https://acordes.lacuerda.net/hillsong_united/cuan_grande_es_dios
237,Te doy gloria,Marco Barrientos,marco_barrientos,te_doy_gloria,73,8.01,1,R,https://acordes.lacuerda.net/marco_barrientos/te_doy_gloria
238,Junto a tus Pies,Danilo Montero,danilo_montero,junto_a_tus_pies,72,9.0,8,"T,R",https://acordes.lacuerda.net/danilo_montero/junto_a_tus_pies
239,Si yo te dejo,Alex Campos,alex_campos,si_yo_te_dejo,72,8.1,1,R,https://acordes.lacuerda.net/alex_campos/si_yo_te_dejo
240,Celebraré tu amor,Jesus Adrian Romero,jesus_adrian_romero,celebrare_tu_amor,71,8.78,7,"R,T,B",https://acordes.lacuerda.net/jesus_adrian_romero/celebrare_tu_amor
241,Come On,Alex Campos,alex_campos,come_on,70,8.98,4,"T,R",https://acordes.lacuerda.net/alex_campos/come_on
242,"Mi pan, mi luz",Marcos Witt,marcos_witt,mi_pan_mi_luz,70,8.76,1,R,https://acordes.lacuerda.net/marcos_witt/mi_pan_mi_luz
243,He decidido seguir a Cristo,Marcos Witt,marcos_witt,he_decidido_seguir_a_cristo,70,8.04,1,R,https://acordes.lacuerda.net/marcos_witt/he_decidido_seguir_a_cristo
244,Me haces crecer,Marcela Gandara,marcela_gandara,me_haces_crecer,69,9.22,1,R,https://acordes.lacuerda.net/marcela_gandara/me_haces_crecer
245,Angeles de Dios,Música Religiosa,musica_religiosa,angeles_de_dios,69,9.04,1,R,https://acordes.lacuerda.net/musica_religiosa/angeles_de_dios
246,Bajo el sol,Alex Campos,alex_campos,bajo_el_sol,69,8.69,4,R,https://acordes.lacuerda.net/alex_campos/bajo_el_sol
247,Cantaría sin parar,Miel San Marcos,miel_san_marcos,cantaria_sin_parar,69,8.56,1,R,https://acordes.lacuerda.net/miel_san_marcos/cantaria_sin_parar
248,Apasionados,Barak,barak,apasionados,69,8.17,1,R,https://acordes.lacuerda.net/barak/apasionados
249,Hermoso Eres,Marcos Witt,marcos_witt,hermoso_eres,69,7.93,1,R,https://acordes.lacuerda.net/marcos_witt/hermoso_eres
250,Quiero enamorarme más de ti,Marcela Gandara,marcela_gandara,quiero_enamorarme_mas_de_ti,69,7.91,2,R,https://acordes.lacuerda.net/marcela_gandara/quiero_enamorarme_mas_de_ti
251,Te puedo sentir,Alex Campos,alex_campos,te_puedo_sentir,68,9.05,3,"R,T",https://acordes.lacuerda.net/alex_campos/te_puedo_sentir
252,Hoy te rindo mi ser,Danilo Montero,danilo_montero,hoy_te_rindo_mi_ser,68,8.78,1,T,https://acordes.lacuerda.net/danilo_montero/hoy_te_rindo_mi_ser
253,Creo en tí,Hillsong United,hillsong_united,creo_en_ti,68,8.61,1,R,https://acordes.lacuerda.net/hillsong_united/creo_en_ti
254,El camino del Señor,Marco Barrientos,marco_barrientos,el_camino_del_senior,68,8.14,1,R,https://acordes.lacuerda.net/marco_barrientos/el_camino_del_senior
255,El gozo del Señor,Marcos Witt,marcos_witt,el_gozo_del_senior,67,8.91,1,K,https://acordes.lacuerda.net/marcos_witt/el_gozo_del_senior
256,La Revolución,Hillsong United,hillsong_united,la_revolucion,67,8.91,1,T,https://acordes.lacuerda.net/hillsong_united/la_revolucion
257,Los muros caen,Marco Barrientos,marco_barrientos,los_muros_caen,67,8.88,1,R,https://acordes.lacuerda.net/marco_barrientos/los_muros_caen
258,Levántate señor,Marcos Witt,marcos_witt,levantate_senior,67,8.54,1,R,https://acordes.lacuerda.net/marcos_witt/levantate_senior
259,Por las llagas de Jesús,Marcela Gandara,marcela_gandara,por_las_llagas_de_jesus,67,8.34,2,R,https://acordes.lacuerda.net/marcela_gandara/por_las_llagas_de_jesus
260,Alfa y Omega,Barak,barak,alfa_y_omega,66,9.33,2,"T,R",https://acordes.lacuerda.net/barak/alfa_y_omega
261,A Dios el Padre,Marcos Witt,marcos_witt,a_dios_el_padre,66,9.0,5,"R,K,B",https://acordes.lacuerda.net/marcos_witt/a_dios_el_padre
262,Que seria de mí,Marcos Witt,marcos_witt,que_seria_de_mi,66,8.5,1,R,https://acordes.lacuerda.net/marcos_witt/que_seria_de_mi
263,Damos honor a tí,Marcos Witt,marcos_witt,damos_honor_a_ti,66,8.37,1,R,https://acordes.lacuerda.net/marcos_witt/damos_honor_a_ti
264,Muévete en Mí,Música Religiosa,musica_religiosa,muevete_en_mi,66,8.24,1,R,https://acordes.lacuerda.net/musica_religiosa/muevete_en_mi
265,Lávame,Marcos Witt,marcos_witt,lavame,65,9.36,1,R,https://acordes.lacuerda.net/marcos_witt/lavame
266,Más que un anhelo,Marcela Gandara,marcela_gandara,mas_que_un_anhelo,65,8.69,5,"R,T",https://acordes.lacuerda.net/marcela_gandara/mas_que_un_anhelo
267,Grande Y Poderoso,Marcos Witt,marcos_witt,grande_y_poderoso,65,8.66,1,R,https://acordes.lacuerda.net/marcos_witt/grande_y_poderoso
268,En Tu Abrazo,Danilo Montero,danilo_montero,en_tu_abrazo,64,10.0,2,R,https://acordes.lacuerda.net/danilo_montero/en_tu_abrazo
269,Eres Santo,Generacion 12,generacion_12,eres_santo,64,9.69,4,"R,T",https://acordes.lacuerda.net/generacion_12/eres_santo
270,Sí y Amén,Barak,barak,si_y_amen,64,8.72,2,R,https://acordes.lacuerda.net/barak/si_y_amen
271,Vasos de barro,Marco Barrientos,marco_barrientos,vasos_de_barro,64,8.57,1,R,https://acordes.lacuerda.net/marco_barrientos/vasos_de_barro
272,Celebrad a Cristo,Danilo Montero,danilo_montero,celebrad_a_cristo,64,8.5,2,"R,B",https://acordes.lacuerda.net/danilo_montero/celebrad_a_cristo
273,Cristo heme aquí,Marco Barrientos,marco_barrientos,cristo_heme_aqui,64,8.39,1,R,https://acordes.lacuerda.net/marco_barrientos/cristo_heme_aqui
274,Allí esta Él,Alex Campos,alex_campos,alli_esta_el,63,9.21,1,T,https://acordes.lacuerda.net/alex_campos/alli_esta_el
275,Sólo tú eres santo,Marcos Witt,marcos_witt,solo_tu_eres_santo,63,8.24,1,R,https://acordes.lacuerda.net/marcos_witt/solo_tu_eres_santo
276,En tí confia mi corazón,Marcos Witt,marcos_witt,en_ti_confia_mi_corazon,63,7.9,1,R,https://acordes.lacuerda.net/marcos_witt/en_ti_confia_mi_corazon
277,Canon,Música Religiosa,musica_religiosa,canon,63,6.83,1,R,https://acordes.lacuerda.net/musica_religiosa/canon
278,Eres mi sol,Alex Campos,alex_campos,eres_mi_sol,62,9.52,4,"R,T",https://acordes.lacuerda.net/alex_campos/eres_mi_sol
279,Alliíquiero estar,Alex Campos,alex_campos,alliiquiero_estar,62,9.4,1,R,https://acordes.lacuerda.net/alex_campos/alliiquiero_estar
280,Donde? Como?,Rojo,rojo,donde_como,62,9.31,3,"R,T",https://acordes.lacuerda.net/rojo/donde_como
281,Me veo y te veo,Alex Campos,alex_campos,me_veo_y_te_veo,62,8.98,3,R,https://acordes.lacuerda.net/alex_campos/me_veo_y_te_veo
282,Vive Jesús,Música Religiosa,musica_religiosa,vive_jesus,62,8.63,1,R,https://acordes.lacuerda.net/musica_religiosa/vive_jesus
283,Quiero más de tu espíritu,Marco Barrientos,marco_barrientos,quiero_mas_de_tu_espiritu,62,8.29,1,R,https://acordes.lacuerda.net/marco_barrientos/quiero_mas_de_tu_espiritu
284,Dios Incomparable,Marco Barrientos,marco_barrientos,dios_incomparable,62,7.89,1,R,https://acordes.lacuerda.net/marco_barrientos/dios_incomparable
285,Hossana,Hillsong United,hillsong_united,hossana,62,7.77,1,R,https://acordes.lacuerda.net/hillsong_united/hossana
286,Santo Cordero,Barak,barak,santo_cordero,62,7.39,2,R,https://acordes.lacuerda.net/barak/santo_cordero
287,Creo,Rojo,rojo,creo,61,9.71,3,R,https://acordes.lacuerda.net/rojo/creo
288,Te consagro lo más mío,Música Religiosa,musica_religiosa,te_consagro_lo_mas_mio,61,9.68,1,R,https://acordes.lacuerda.net/musica_religiosa/te_consagro_lo_mas_mio
289,Dije Adiós,Alex Campos,alex_campos,dije_adios,61,9.35,3,T,https://acordes.lacuerda.net/alex_campos/dije_adios
290,Cuando una lágrima cae,Alex Campos,alex_campos,cuando_una_lagrima_cae,61,8.26,1,R,https://acordes.lacuerda.net/alex_campos/cuando_una_lagrima_cae
291,Antes de tí,Marcela Gandara,marcela_gandara,antes_de_ti,60,9.32,3,R,https://acordes.lacuerda.net/marcela_gandara/antes_de_ti
292,Tu habitas,Marco Barrientos,marco_barrientos,tu_habitas,60,8.83,1,R,https://acordes.lacuerda.net/marco_barrientos/tu_habitas
293,Contigo quiero caminar,Marcela Gandara,marcela_gandara,contigo_quiero_caminar,60,8.41,1,R,https://acordes.lacuerda.net/marcela_gandara/contigo_quiero_caminar
294,La Cosecha,Marco Barrientos,marco_barrientos,la_cosecha,60,8.33,1,R,https://acordes.lacuerda.net/marco_barrientos/la_cosecha
295,Pescador de Hombres,Música Religiosa,musica_religiosa,pescador_de_hombres,60,7.87,1,R,https://acordes.lacuerda.net/musica_religiosa/pescador_de_hombres
296,Hay poder,Marcos Witt,marcos_witt,hay_poder,60,7.68,1,R,https://acordes.lacuerda.net/marcos_witt/hay_poder
297,Te daré alabanza y honor,Marcos Witt,marcos_witt,te_dare_alabanza_y_honor,59,9.83,1,B,https://acordes.lacuerda.net/marcos_witt/te_dare_alabanza_y_honor
298,El amor está aquí,Rojo,rojo,el_amor_esta_aqui,59,9.36,3,R,https://acordes.lacuerda.net/rojo/el_amor_esta_aqui
299,Bajo Control,Rojo,rojo,bajo_control,59,9.31,5,"R,T,B",https://acordes.lacuerda.net/rojo/bajo_control
300,En tus brazos,Generacion 12,generacion_12,en_tus_brazos,59,9.08,4,"R,T",https://acordes.lacuerda.net/generacion_12/en_tus_brazos
301,Si estoy contigo,Alex Campos,alex_campos,si_estoy_contigo,59,8.81,2,R,https://acordes.lacuerda.net/alex_campos/si_estoy_contigo
302,Amor Real,Tercer Cielo,tercer_cielo,amor_real,59,8.8,2,R,https://acordes.lacuerda.net/tercer_cielo/amor_real
303,Conmigo Estás,Hillsong United,hillsong_united,conmigo_estas,59,8.77,1,R,https://acordes.lacuerda.net/hillsong_united/conmigo_estas
304,Bendito sea Dios,Música Religiosa,musica_religiosa,bendito_sea_dios,59,8.68,1,R,https://acordes.lacuerda.net/musica_religiosa/bendito_sea_dios
305,Aquella Cruz,Hillsong United,hillsong_united,aquella_cruz,59,7.98,1,R,https://acordes.lacuerda.net/hillsong_united/aquella_cruz
306,No cambiaría,Marcos Witt,marcos_witt,no_cambiaria,58,8.89,1,R,https://acordes.lacuerda.net/marcos_witt/no_cambiaria
307,Más allá de todo,Marcela Gandara,marcela_gandara,mas_alla_de_todo,58,8.58,3,"R,T",https://acordes.lacuerda.net/marcela_gandara/mas_alla_de_todo
308,Entre tu y yo,Tercer Cielo,tercer_cielo,entre_tu_y_yo,58,8.4,2,"R,T",https://acordes.lacuerda.net/tercer_cielo/entre_tu_y_yo
309,Quiero Levantar mis Manos,Marcos Witt,marcos_witt,quiero_levantar_mis_manos,58,8.09,1,R,https://acordes.lacuerda.net/marcos_witt/quiero_levantar_mis_manos
310,"Es aquí, es ahora",Marcos Witt,marcos_witt,es_aqui_es_ahora,57,9.63,1,T,https://acordes.lacuerda.net/marcos_witt/es_aqui_es_ahora
311,Amarte más,Marcos Witt,marcos_witt,amarte_mas,57,8.99,1,R,https://acordes.lacuerda.net/marcos_witt/amarte_mas
312,Tu amor no tiene fín,Generacion 12,generacion_12,tu_amor_no_tiene_fin,57,8.11,6,"R,B",https://acordes.lacuerda.net/generacion_12/tu_amor_no_tiene_fin
313,Razones pa' vivir,Alex Campos,alex_campos,razones_pa_vivir,56,9.16,1,R,https://acordes.lacuerda.net/alex_campos/razones_pa_vivir
314,Con todo,Rojo,rojo,con_todo,56,8.97,5,"R,B,T",https://acordes.lacuerda.net/rojo/con_todo
315,Motivo de mi cancion,Marcos Witt,marcos_witt,motivo_de_mi_cancion,56,8.83,1,R,https://acordes.lacuerda.net/marcos_witt/motivo_de_mi_cancion
316,Hay Libertad,La IBI,ibi,hay_libertad,56,8.32,1,R,https://acordes.lacuerda.net/ibi/hay_libertad
317,Cada Día,Tercer Cielo,tercer_cielo,cada_dia,56,8.11,3,R,https://acordes.lacuerda.net/tercer_cielo/cada_dia
318,Perdóname,Barak,barak,perdoname,56,7.89,2,R,https://acordes.lacuerda.net/barak/perdoname
319,Fiesta hay en el corazón,Danilo Montero,danilo_montero,fiesta_hay_en_el_corazon,55,8.75,4,R,https://acordes.lacuerda.net/danilo_montero/fiesta_hay_en_el_corazon
320,Sananos,Marcos Witt,marcos_witt,sananos,55,8.38,1,R,https://acordes.lacuerda.net/marcos_witt/sananos
321,Ave Maria,Música Religiosa,musica_religiosa,ave_maria,55,8.1,1,R,https://acordes.lacuerda.net/musica_religiosa/ave_maria
322,Como en el cielo,Generacion 12,generacion_12,como_en_el_cielo,55,7.65,2,R,https://acordes.lacuerda.net/generacion_12/como_en_el_cielo
323,Cerca de Jesús,Jesus Adrian Romero,jesus_adrian_romero,cerca_de_jesus,54,10.0,3,"R,T",https://acordes.lacuerda.net/jesus_adrian_romero/cerca_de_jesus
324,"Quiero, siento y pienso",Alex Campos,alex_campos,quiero_siento_y_pienso,54,9.01,2,R,https://acordes.lacuerda.net/alex_campos/quiero_siento_y_pienso
325,Nada mas quien piensas,Alex Campos,alex_campos,nada_mas_quien_piensas,54,8.99,3,R,https://acordes.lacuerda.net/alex_campos/nada_mas_quien_piensas
